Date,Close,Volume,Open,High,Low
10/18/2017,77.61,13288960,77.67,77.85,77.37
10/17/2017,77.59,16072320,77.47,77.62,77.25
10/16/2017,77.65,12361880,77.42,77.81,77.35
10/13/2017,77.49,15319310,77.59,77.87,77.29
10/12/2017,77.12,17268390,76.49,77.29,76.37
10/11/2017,76.42,15378030,76.36,76.46,75.95
10/10/2017,76.29,13939430,76.33,76.63,76.14
10/9/2017,76.29,11386390,75.97,76.55,75.86
10/6/2017,76,13946480,75.67,76.03,75.54
10/5/2017,75.97,21176990,75.22,76.12,74.96
10/4/2017,74.69,13295060,74,74.72,73.71
10/3/2017,74.26,12186560,74.67,74.88,74.195
10/2/2017,74.61,15296380,74.71,75.01,74.295
9/29/2017,74.49,16989330,73.94,74.535,73.88
9/28/2017,73.87,10879150,73.54,73.97,73.31
9/27/2017,73.85,19487260,73.55,74.17,73.17
9/26/2017,73.26,17270990,73.67,73.81,72.99
9/25/2017,73.26,24131960,74.09,74.25,72.92
9/22/2017,74.41,14095440,73.99,74.51,73.85
9/21/2017,74.21,19172840,75.11,75.24,74.11
9/20/2017,74.94,20789800,75.35,75.55,74.31
9/19/2017,75.44,15769510,75.21,75.71,75.01
9/18/2017,75.16,23305610,75.23,75.97,75.04
9/15/2017,75.31,38515230,74.83,75.39,74.07
9/14/2017,74.77,15695470,75,75.49,74.52
9/13/2017,75.21,13353930,74.93,75.23,74.55
9/12/2017,74.68,14387100,74.76,75.24,74.37
9/11/2017,74.76,17900360,74.31,74.945,74.31
9/8/2017,73.98,14703700,74.33,74.44,73.84
9/7/2017,74.34,17468290,73.68,74.6,73.6
9/6/2017,73.4,16525320,73.74,74.04,73.35
9/5/2017,73.61,22234340,73.34,73.89,72.98
9/1/2017,73.94,21713620,74.71,74.74,73.64
8/31/2017,74.77,27645380,74.03,74.96,73.8
8/30/2017,74.01,16892790,73.01,74.2099,72.8293
