Date,Close,Open,High,Low
9/10/2020,116.69,118.6,119.61,116.38
9/9/2020,118.34,118.21,119.73,117.4
9/8/2020,117.32,118.24,118.93,116.84
9/4/2020,118.38,120.36,121.33,117.35
9/3/2020,120.46,124.08,125.78,119.68
9/2/2020,124.07,119.75,124.57,119.61
9/1/2020,119.44,118.91,119.97,118.23
8/31/2020,119.35,121.23,121.23,119.08
8/28/2020,121.06,120.95,121.28,120.23
8/27/2020,120.65,120.6,121.09,120
8/26/2020,120.19,120.94,121.1,119.97
8/25/2020,120.64,121.96,122.75,120.49
8/24/2020,121.65,119.82,122.01,119.4
8/21/2020,119.21,119.06,119.52,118.38
8/20/2020,119.2,119.25,120.06,118.87
8/19/2020,119.87,120.82,121.47,119.54
8/18/2020,120.91,120.99,121.47,120.25
8/17/2020,120.45,121.23,121.56,120.42
8/14/2020,121.25,120.21,121.53,119.93
8/13/2020,121.02,121.92,122.33,120.77
8/12/2020,122.63,123.51,123.69,121.84
8/11/2020,122.68,124.63,126.28,122.55
8/10/2020,123.03,121.39,123.16,121.17
8/7/2020,120.95,119.54,121.06,119.26
8/6/2020,122.07,120.99,122.21,120.99
8/5/2020,121.42,122.66,122.68,120.61
8/4/2020,121.8,119.85,121.82,119.85
8/3/2020,120.32,119.54,120.42,118.23
7/31/2020,118.99,118.77,119.04,117.2
7/30/2020,118.96,119.74,119.93,117.74
7/29/2020,121.3,120.56,121.95,120.09
7/28/2020,120.48,121.78,122.29,120.17
7/27/2020,122.16,120.85,122.27,120.71
7/24/2020,121.75,122.42,123.55,121.47
7/23/2020,123.24,124.96,125.22,123.07
7/22/2020,124.54,121.86,125.31,121.76
7/21/2020,122.01,126.95,127.93,121.76
7/20/2020,122.31,122.02,122.99,121.12
7/17/2020,121.09,120.4,121.6,119.25
7/16/2020,120.03,118.74,120.49,118.24
7/15/2020,119.05,118.47,119.98,118.23
7/14/2020,116.73,114.81,117.01,114.14
7/13/2020,115.37,115.94,117.11,114.85
7/10/2020,114.55,111.79,114.76,111.59
7/9/2020,112,114.21,114.21,111.5
7/8/2020,113.93,114.27,114.83,112.74
7/7/2020,113.81,115.18,115.67,113.56
7/6/2020,116.33,117.36,117.94,115.63
7/2/2020,115.86,115.85,117.52,115.43
7/1/2020,114.74,116.41,117.33,114.57
6/30/2020,116.89,115.36,117.31,115.18
6/29/2020,115.91,114.19,115.94,113.6
6/26/2020,113.43,114.46,115.17,112.53
6/25/2020,115.21,113.01,115.38,112.37
6/24/2020,112.68,114.52,114.52,112.16
6/23/2020,115.58,118.09,118.96,115.4
6/22/2020,117.18,118.2,118.57,116.66
6/19/2020,118.54,122.12,122.75,118.33
6/18/2020,120.18,119.05,120.41,118.4
6/17/2020,120.17,121.79,122.2,119.44
6/16/2020,121.13,120.99,123.41,119.21
6/15/2020,117.75,115.36,118.44,114.49
6/12/2020,118,117.36,119.17,115.45
6/11/2020,114.22,121.99,122.05,114.05
6/10/2020,125.7,127.91,127.99,125.63
6/9/2020,127.64,129.23,129.31,126.82
6/8/2020,131.39,128.03,131.52,128.03
6/5/2020,127.82,129.59,129.92,127.52
6/4/2020,124.75,123.68,124.81,122.94
6/3/2020,124.91,123.07,125.44,122.92
6/2/2020,121.96,121.64,121.96,120.66
6/1/2020,120.88,120.64,121.71,120.05
5/29/2020,120.89,119.7,121.11,118.32
5/28/2020,120.53,122.8,122.9,120.23
5/27/2020,121.51,119.96,121.79,119.51
5/26/2020,117.85,117.41,118.68,117.13
5/22/2020,114.59,115.54,115.63,113.82
5/21/2020,115.3,117.11,117.81,115.15
5/20/2020,117.48,117.05,118.54,116.73
5/19/2020,116.43,117.3,118.25,116.28
5/18/2020,117.66,116.03,118.43,115.91
5/15/2020,113.23,112.21,113.62,111.55
5/14/2020,113.2,110.89,113.33,108.22
5/13/2020,112.02,116.1,116.14,111.16
5/12/2020,116.4,119.06,120.33,116.4
5/11/2020,118.66,117.9,119.49,116.8
5/8/2020,119.04,118.73,119.28,117.17
